编号,图片文件,文字文件,管段编号,管径,缺陷名称,等级,距离,时钟表示,修复建议,原始图片rid,原始图片路径,Word块序号,备注,原始文字
011,images/011.png,texts/011.txt,W11-W12,DN300,ZA,4,1.01,-,特殊疏通处理,rId37,word/media/image23.png,281,,管段编号W11-W12管径DN300缺陷名称ZA等级4距离1.01时钟表示-障碍物（4级）：断面损失大于30%（特殊疏通处理）
012,images/012.png,texts/012.txt,W12-W11,DN300,ZA,4,1.02,-,特殊疏通处理,rId38,word/media/image24.png,286,,管段编号W12-W11管径DN300缺陷名称ZA等级4距离1.02时钟表示-障碍物（4级）：断面损失大于30%（特殊疏通处理）
013,images/013.png,texts/013.txt,W10-W204,DN300,SG,2,0.86,-,切割处理/疏通处理,rId39,word/media/image25.png,292,,管段编号W10-W204管径DN300缺陷名称SG等级2距离0.86时钟表示-树根（2级）：过水断面积损失量在5%~15%之间。（切割处理/疏通处理）
014,images/014.png,texts/014.txt,W10-W204,DN300,SG,2,4.71,-,局部开挖处理,rId40,word/media/image26.png,297,,管段编号W10-W204管径DN300缺陷名称SG等级2距离4.71时钟表示-树根（2级）：过水断面积损失量在5%~15%之间。（局部开挖处理）
015,images/015.png,texts/015.txt,W10-W204,DN300,CW,3,5.17,-,局部开挖处理,rId41,word/media/image27.png,301,,管段编号W10-W204管径DN300缺陷名称CW等级3距离5.17时钟表示-错位（3级）：重度错位：错位距离为管壁厚度1至2倍。（局部开挖处理）
016,images/016.png,texts/016.txt,W10-W204,DN300,ZA,4,5.5,-,局部开挖处理,rId42,word/media/image28.png,307,,管段编号W10-W204管径DN300缺陷名称ZA等级4距离5.5时钟表示-障碍物（4级）：断面损失大于30%（局部开挖处理）
017,images/017.png,texts/017.txt,W13-W12,DN300,BX,2,3.6,-,局部现场固化法修复,rId43,word/media/image29.png,311,,管段编号W13-W12管径DN300缺陷名称BX等级2距离3.6时钟表示-变形（2级）：变形为管道直径的5%-15%。（局部现场固化法修复）
018,images/018.png,texts/018.txt,W13-W205,DN300,ZA,2,2.86,-,特殊疏通处理,rId44,word/media/image30.png,315,,管段编号W13-W205管径DN300缺陷名称ZA等级2距离2.86时钟表示-障碍物（2级）：断面损失为5%~15%（特殊疏通处理）
019,images/019.png,texts/019.txt,W16-W21,DN300,ZA,3,1.32,-,特殊疏通处理,rId45,word/media/image31.png,322,,管段编号W16-W21管径DN300缺陷名称ZA等级3距离1.32时钟表示-障碍物（3级）：断面损失为15%~30%（特殊疏通处理）
020,images/020.png,texts/020.txt,W18-W19,DN150,SG,4,井室,-,井室清理,rId46,word/media/image32.png,326,,管段编号W18-W19管径DN150缺陷名称SG等级4距离井室时钟表示-树根（4级）：过水断面积损失量大于30%（井室清理）
021,images/021.png,texts/021.txt,W19-W209,DN150,ZA,2,0.2,-,疏通处理,rId47,word/media/image33.png,330,,管段编号W19-W209管径DN150缺陷名称ZA等级2距离0.2时钟表示-障碍物（2级）：断面损失为5%~15%（疏通处理）
022,images/022.png,texts/022.txt,W20-W19,DN150,CJ,2,0,-,疏通处理,rId48,word/media/image34.png,338,,管段编号W20-W19管径DN150缺陷名称CJ等级2距离0时钟表示-沉积（2级）：沉积物厚度在管径的5%~20%之间。（疏通处理）
023,images/023.png,texts/023.txt,W23-W21,DN300,PL,2,11.64,-,局部现场固化法修复,rId49,word/media/image35.png,342,,管段编号W23-W21管径DN300缺陷名称PL等级2距离11.64时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（局部现场固化法修复）
024,images/024.png,texts/024.txt,W28-W29,DN300,BX,2,10.43,-,特殊疏通处理/CIPP紫外线光固化整体修复,rId50,word/media/image36.png,346,,管段编号W28-W29管径DN300缺陷名称BX等级2距离10.43时钟表示-变形（2级）变形为管道直径的5%-15%。（特殊疏通处理/CIPP紫外线光固化整体修复）
025,images/025.png,texts/025.txt,W28-W29,DN300,ZA,3,12.65,-,特殊疏通处理/CIPP紫外线光固化整体修复,rId51,word/media/image37.png,352,,管段编号W28-W29管径DN300缺陷名称ZA等级3距离12.65时钟表示-障碍物（3级）：断面损失为15%~30%（特殊疏通处理/CIPP紫外线光固化整体修复）
026,images/026.png,texts/026.txt,W28-W29,DN300,PL,2,13.29,-,特殊疏通处理/CIPP紫外线光固化整体修复,rId52,word/media/image38.png,357,,管段编号W28-W29管径DN300缺陷名称PL等级2距离13.29时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（特殊疏通处理/CIPP紫外线光固化整体修复）
027,images/027.png,texts/027.txt,W28-W29,DN300,PL,2,15.36,-,特殊疏通处理/CIPP紫外线光固化整体修复,rId53,word/media/image39.png,362,,管段编号W28-W29管径DN300缺陷名称PL等级2距离15.36时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（特殊疏通处理/CIPP紫外线光固化整体修复）
028,images/028.png,texts/028.txt,W28-W29,DN300,PL,2,16.33,-,特殊疏通处理/CIPP紫外线光固化整体修复,rId54,word/media/image40.png,368,,管段编号W28-W29管径DN300缺陷名称PL等级2距离16.33时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（特殊疏通处理/CIPP紫外线光固化整体修复）
029,images/029.png,texts/029.txt,W31-W30,DN200,ZA,3,1.2,-,疏通处理,rId55,word/media/image41.png,372,,管段编号W31-W30管径DN200缺陷名称ZA等级3距离1.2时钟表示-障碍物（3级）：断面损失大于30%（疏通处理）
030,images/030.png,texts/030.txt,W31-W211,DN200,CJ,2,0.5,-,疏通处理,rId56,word/media/image42.png,375,,管段编号W31-W211管径DN200缺陷名称CJ等级2距离0.5时钟表示-沉积（2级）：沉积物厚度在管径的5%~20%之间。（疏通处理）
031,images/031.png,texts/031.txt,W38A-W29,DN300,CJ,2,2.22,-,疏通处理,rId57,word/media/image43.png,382,,管段编号W38A-W29管径DN300缺陷名称CJ等级2距离2.22时钟表示-沉积（2级）：沉积物厚度在管径的5%~20%之间。（疏通处理）
032,images/032.png,texts/032.txt,W38-W38A,DN300,TJ,3,13.75,-,局部开挖处理,rId58,word/media/image44.png,386,,管段编号W38-W38A管径DN300缺陷名称TJ等级3距离13.75时钟表示-脱节（3级）：重度脱节：脱节距离处于管壁厚度1~2倍之间。（局部开挖处理）
033,images/033.png,texts/033.txt,W38-W38A,DN300,BX,2,31.09,-,局部现场固化法修复,rId59,word/media/image45.png,390,,管段编号W38-W38A管径DN300缺陷名称BX等级2距离31.09时钟表示-变形（2级）变形为管道直径的5%-15%。（局部现场固化法修复）
034,images/034.png,texts/034.txt,W38-W38A,DN300,ZA,2,井室,-,井室清理,rId60,word/media/image46.png,399,,管段编号W38-W38A管径DN300缺陷名称ZA等级2距离井室时钟表示-障碍物（2级）：断面损失为5%~15%（井室清理）
035,images/035.png,texts/035.txt,W39-W38,DN300,JG,3,6.06,-,特殊疏通处理,rId61,word/media/image47.png,404,,管段编号W39-W38管径DN300缺陷名称JG等级3距离6.06时钟表示-结垢（3级）：硬质结垢造成的过水断面积损失在15％~25％之间；（特殊疏通处理）
036,images/036.png,texts/036.txt,W39-W38,DN300,CW,3,12.49,-,特殊疏通处理,rId62,word/media/image48.png,409,,管段编号W39-W38管径DN300缺陷名称CW等级3距离12.49时钟表示-错位（3级）：重度错位：错位距离为管壁厚度1至2倍。（特殊疏通处理）
037,images/037.png,texts/037.txt,W39-W38,DN300,ZA,3,13.03,-,井室清理,rId63,word/media/image49.png,414,,管段编号W39-W38管径DN300缺陷名称ZA等级3距离13.03时钟表示-障碍物（3级）：断面损失为15%~30%（井室清理）
038,images/038.png,texts/038.txt,W41-W43,DN200,CW,2,7,-,局部现场固化法修复,rId64,word/media/image50.png,419,,管段编号W41-W43管径DN200缺陷名称CW等级2距离7时钟表示-错位（2级）：中度错位：错位距离在管壁厚度1／2及1倍之间。（局部现场固化法修复）
039,images/039.png,texts/039.txt,W43-W45,DN200,CW,2,3.5,-,局部现场固化法修复,rId65,word/media/image51.png,423,,管段编号W43-W45管径DN200缺陷名称CW等级2距离3.5时钟表示-错位（2级）：中度错位：错位距离在管壁厚度1／2及1倍之间。（局部现场固化法修复）
040,images/040.png,texts/040.txt,W43-W45,DN200,ZA,2,3.65-8.3,-,疏通处理,rId66,word/media/image52.png,429,,管段编号W43-W45管径DN200缺陷名称ZA等级2距离3.65-8.3时钟表示-障碍物（2级）：断面损失为5%~15%（疏通处理）
041,images/041.png,texts/041.txt,W43-W45,DN200,BX,2,7.73,-,局部现场固化法修复,rId67,word/media/image53.png,433,,管段编号W43-W45管径DN200缺陷名称BX等级2距离7.73时钟表示-变形（2级）变形为管道直径的5%-15%。（局部现场固化法修复）
042,images/042.png,texts/042.txt,W43-W45,DN200,CW,2,1.9,-,局部现场固化法修复,rId68,word/media/image54.png,437,,管段编号W43-W45管径DN200缺陷名称CW等级2距离1.9时钟表示-错位（2级）：中度错位：错位距离在管壁厚度1／2及1倍之间。（局部现场固化法修复）
043,images/043.png,texts/043.txt,W46-W215,DN200,CJ,3,整段,-,疏通处理,rId69,word/media/image55.png,443,,管段编号W46-W215管径DN200缺陷名称CJ等级3距离整段时钟表示-沉积（3）：沉积物厚度在管径的20%~40%。（疏通处理）
044,images/044.png,texts/044.txt,W48-W49,DN200,TG,4,2.2,-,业主酌情处理,rId70,word/media/image56.png,447,,管段编号W48-W49管径DN200缺陷名称TG等级4距离2.2时钟表示-套管（4级）：管道内管径材质不同。（业主酌情处理）
045,images/045.png,texts/045.txt,W52-W41,DN300,CW,2,12.47,-,局部现场固化法修复,rId71,word/media/image57.png,451,,管段编号W52-W41管径DN300缺陷名称CW等级2距离12.47时钟表示-错位（2级）：中度错位：错位距离在管壁厚度1／2及1倍之间。（局部现场固化法修复）
046,images/046.png,texts/046.txt,W52-W53,DN300,PL,2,3.26,-,局部现场固化法修复,rId72,word/media/image58.png,456,,管段编号W52-W53管径DN300缺陷名称PL等级2距离3.26时钟表示-错位（2级）：中度错位：错位距离在管壁厚度1／2及1倍之间。（局部现场固化法修复）
047,images/047.png,texts/047.txt,W200-W4,DN300,CW,2,2.71,-,CIPP紫外线光固化整体修复,rId73,word/media/image59.png,460,,管段编号W200-W4管径DN300缺陷名称CW等级2距离2.71时钟表示-错位（2级）：中度错位：错位距离在管壁厚度1／2及1倍之间。（CIPP紫外线光固化整体修复）
048,images/048.png,texts/048.txt,W200-W4,DN300,CW,2,11.9,-,CIPP紫外线光固化整体修复,rId74,word/media/image60.png,464,,管段编号W200-W4管径DN300缺陷名称CW等级2距离11.9时钟表示-错位（2级）：中度错位：错位距离在管壁厚度1／2及1倍之间。（CIPP紫外线光固化整体修复）
049,images/049.png,texts/049.txt,W200-W4,DN300,CW,2,14.85,-,CIPP紫外线光固化整体修复,rId75,word/media/image61.png,470,,管段编号W200-W4管径DN300缺陷名称CW等级2距离14.85时钟表示-错位（2级）：中度错位：错位距离在管壁厚度1／2及1倍之间。（CIPP紫外线光固化整体修复）
050,images/050.png,texts/050.txt,W211-W32,DN200,ZA,2,井室,-,井室清理,rId76,word/media/image62.png,474,,管段编号W211-W32管径DN200缺陷名称ZA等级2距离井室时钟表示-障碍物（2级）：断面损失为5%~15%（井室清理）
051,images/051.png,texts/051.txt,W211-W32,DN200,QF,2,1.5-3,-,暂不处理,rId77,word/media/image63.png,480,,管段编号W211-W32管径DN200缺陷名称QF等级2距离1.5-3时钟表示-蛇形起伏（3级）：40%<水位高/管径≤60%（暂不处理）
052,images/052.png,texts/052.txt,W5-W6,DN300,ZA,2,7.3,-,疏通处理,rId78,word/media/image64.png,485,,管段编号W5-W6管径DN300缺陷名称ZA等级2距离7.3时钟表示-障碍物（2级）：断面损失为5%~15%（疏通处理）
053,images/053.png,texts/053.txt,W8-W14,DN300,ZA,3,4,-,特殊疏通处理,rId79,word/media/image65.png,489,,管段编号W8-W14管径DN300缺陷名称ZA等级3距离4时钟表示-障碍物（3级）：断面损失为15%~30%（特殊疏通处理）
054,images/054.png,texts/054.txt,Y1-Y2,DN200,AJ,4,6.1,-,业主酌情处理,rId80,word/media/image66.png,493,,管段编号Y1-Y2管径DN200缺陷名称AJ等级4距离6.1时钟表示-支管暗接（4级）：支管未接入到主管。（业主酌情处理）
055,images/055.png,texts/055.txt,Y1-Y200,DN600,ZA,2,井室,-,井室清理,rId81,word/media/image67.png,500,,管段编号Y1-Y200管径DN600缺陷名称ZA等级2距离井室时钟表示-障碍物（2级）：断面损失为5%~15%（井室清理）
056,images/056.png,texts/056.txt,Y2-Y3A,DN300,ZA,2,18.05-19.4,-,疏通处理,rId82,word/media/image68.png,504,,管段编号Y2-Y3A管径DN300缺陷名称ZA等级2距离18.05-19.4时钟表示-障碍物（2级）：断面损失为5%~15%（疏通处理）
057,images/057.png,texts/057.txt,Y3A-Y3,DN300,ZA,2,井室,-,井室清理,rId83,word/media/image69.png,508,,管段编号Y3A-Y3管径DN300缺陷名称ZA等级2距离井室时钟表示-障碍物（2级）：断面损失为5%~15%（井室清理）
058,images/058.png,texts/058.txt,Y3A-Y3,DN300,ZA,2,4.18-5.76,-,疏通处理,rId84,word/media/image70.png,515,,管段编号Y3A-Y3管径DN300缺陷名称ZA等级2距离4.18-5.76时钟表示-障碍物（2级）：断面损失为5%~15%（疏通处理）
059,images/059.png,texts/059.txt,Y4-Y3,DN300,ZA,3,20.25,-,局部开挖处理/特殊疏通处理,rId85,word/media/image71.png,519,,管段编号Y4-Y3管径DN300缺陷名称ZA等级3距离20.25时钟表示-障碍物（3级）：断面损失为15%~30%（局部开挖处理/特殊疏通处理）
060,images/060.png,texts/060.txt,Y5-Y4,DN300,ZA,3,1.88-18.23,-,疏通处理,rId86,word/media/image72.png,524,,管段编号Y5-Y4管径DN300缺陷名称ZA等级3距离1.88-18.23时钟表示-障碍物（3级）：断面损失为15%~30%（疏通处理）
061,images/061.png,texts/061.txt,Y5-Y6,DN300,ZA,3,1-13.86,-,疏通处理,rId87,word/media/image73.png,530,,管段编号Y5-Y6管径DN300缺陷名称ZA等级3距离1-13.86时钟表示-障碍物（3级）：断面损失为15%~30%（疏通处理）
062,images/062.png,texts/062.txt,Y6-Y8,DN200,CJ,3,0,-,疏通处理,rId88,word/media/image74.png,533,,管段编号Y6-Y8管径DN200缺陷名称CJ等级3距离0时钟表示-沉积（3级）：沉积物厚度在管径的20%~40%。（疏通处理）
063,images/063.png,texts/063.txt,Y6-Y8,DN200,CJ,3,0,-,疏通处理,rId89,word/media/image75.png,538,,管段编号Y6-Y8管径DN200缺陷名称CJ等级3距离0时钟表示-沉积（3级）：沉积物厚度在管径的20%~40%。（疏通处理）
064,images/064.png,texts/064.txt,Y6-Y8,DN200,ZA,2,1.19-2.88,-,疏通处理,rId90,word/media/image76.png,546,,管段编号Y6-Y8管径DN200缺陷名称ZA等级2距离1.19-2.88时钟表示-障碍物（2级）：断面损失为5%~15%（疏通处理）
065,images/065.png,texts/065.txt,Y11-Y201,DN250,CJ,3,0-6.54,-,疏通处理,rId91,word/media/image77.png,550,,管段编号Y11-Y201管径DN250缺陷名称CJ等级3距离0-6.54时钟表示-沉积（3级）：沉积物厚度在管径的20%~40%。（疏通处理）
066,images/066.png,texts/066.txt,Y11-Y201,DN250,TG,4,6.54,-,业主酌情处理,rId92,word/media/image78.png,554,,管段编号Y11-Y201管径DN250缺陷名称TG等级4距离6.54时钟表示-套管（4级）：管道内管径材质不同。（业主酌情处理）
067,images/067.png,texts/067.txt,Y13-Y13A,DN150,TG,4,0.5,-,业主酌情处理,rId93,word/media/image79.png,560,,管段编号Y13-Y13A管径DN150缺陷名称TG等级4距离0.5时钟表示-套管（4级）：管道内管径材质不同。（业主酌情处理）
068,images/068.png,texts/068.txt,Y13-Y13B,DN150,ZA,4,井室,-,井室清理,rId94,word/media/image80.png,564,,管段编号Y13-Y13B管径DN150缺陷名称ZA等级4距离井室时钟表示-障碍物（4级）：断面损失大于30%（井室清理）
069,images/069.png,texts/069.txt,Y13-Y14,DN300,ZA,2,6.93-11.63,-,疏通处理,rId95,word/media/image81.png,568,,管段编号Y13-Y14管径DN300缺陷名称ZA等级2距离6.93-11.63时钟表示-障碍物（2级）：断面损失为5%~15%（疏通处理）
070,images/070.png,texts/070.txt,Y15-Y14,DN300,ZA,3,18.66,-,疏通处理,rId96,word/media/image82.png,575,,管段编号Y15-Y14管径DN300缺陷名称ZA等级3距离18.66时钟表示-障碍物（3级）：断面损失为15%~30%（疏通处理）
071,images/071.png,texts/071.txt,Y15-Y14,DN300,SG,2,19.89,-,切割处理/局部现场固化法修复,rId97,word/media/image83.png,579,,管段编号Y15-Y14管径DN300缺陷名称SG等级2距离19.89时钟表示-树根（2级）：过水断面积损失量在5%~15%之间。（切割处理/局部现场固化法修复）
072,images/072.png,texts/072.txt,Y15-Y15A,DN150,ZA,4,井室,-,开挖处理,rId98,word/media/image84.png,583,,管段编号Y15-Y15A管径DN150缺陷名称ZA等级4距离井室时钟表示-障碍物（4级）：断面损失大于30%（开挖处理）
073,images/073.png,texts/073.txt,Y15-Y15B,DN150,TG,4,0,-,业主酌情处理,rId99,word/media/image85.png,590,,管段编号Y15-Y15B管径DN150缺陷名称TG等级4距离0时钟表示-套管（4级）：管道内管径材质不同。（业主酌情处理）
074,images/074.png,texts/074.txt,Y15-Y15B,DN150,PL,3,0.3,-,开挖处理,rId100,word/media/image86.png,594,,管段编号Y15-Y15B管径DN150缺陷名称PL等级3距离0.3时钟表示-破裂（3级）：坍塌：管道材料裂痕、裂口或破碎处边缘环向覆盖范围大于弧长60º。（开挖处理）
075,images/075.png,texts/075.txt,Y15-Y15B,DN150,PL,3,0.7,-,开挖处理,rId101,word/media/image87.png,598,,管段编号Y15-Y15B管径DN150缺陷名称PL等级3距离0.7时钟表示-破裂（3级）：坍塌：管道材料裂痕、裂口或破碎处边缘环向覆盖范围大于弧长60º。（开挖处理）
076,images/076.png,texts/076.txt,Y15-Y16,DN300,PL,3,3,-,疏通处理/CIPP紫外线光固化整体修复,rId102,word/media/image88.png,606,,管段编号Y15-Y16管径DN300缺陷名称PL等级4.26-13距离3时钟表示-破裂（3级）：破碎：管壁破裂或脱落处所剩碎片的环向覆盖范围小于弧长60º。（疏通处理/CIPP紫外线光固化整体修复）
077,images/077.png,texts/077.txt,Y15-Y16,DN300,ZA,2,15.67-17.66,-,疏通处理/CIPP紫外线光固化整体修复,rId103,word/media/image89.png,610,,管段编号Y15-Y16管径DN300缺陷名称ZA等级2距离15.67-17.66时钟表示-障碍物（2级）：断面损失为5%~15%（疏通处理/CIPP紫外线光固化整体修复）
078,images/078.png,texts/078.txt,Y16-Y18,DN300,PL,2,2.18,-,局部现场固化法修复,rId104,word/media/image90.png,614,,管段编号Y16-Y18管径DN300缺陷名称PL等级2距离2.18时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（局部现场固化法修复）
079,images/079.png,texts/079.txt,Y16-Y18,DN300,ZA,2,3.98,-,疏通处理,rId105,word/media/image91.png,621,,管段编号Y16-Y18管径DN300缺陷名称ZA等级2距离3.98时钟表示-障碍物（2级）：断面损失为5%~15%（疏通处理）
080,images/080.png,texts/080.txt,Y17-Y16,DN200,CJ,2,0,-,疏通处理,rId106,word/media/image92.png,625,,管段编号Y17-Y16管径DN200缺陷名称CJ等级2距离0时钟表示-沉积（2级）：沉积物厚度在管径的5%~20%之间。（疏通处理）
081,images/081.png,texts/081.txt,Y17-Y16,DN200,BX,3,8,-,局部现场固化法修复,rId107,word/media/image93.png,629,,管段编号Y17-Y16管径DN200缺陷名称BX等级3距离8时钟表示-变形（3级）：变形为管道直径的15~25%（局部现场固化法修复）
082,images/082.png,texts/082.txt,Y21-Y22,DN300,SG,2,12.82,-,局部现场固化法修复,rId108,word/media/image94.png,636,,管段编号Y21-Y22管径DN300缺陷名称SG等级2距离12.82时钟表示-树根（2级）：过水断面积损失量在5%~15%之间。（局部现场固化法修复）
083,images/083.png,texts/083.txt,Y21-Y22,DN300,CJ,3,15.6,-,疏通处理,rId109,word/media/image95.png,641,,管段编号Y21-Y22管径DN300缺陷名称CJ等级3距离15.6时钟表示-沉积（3级）：沉积物厚度在管径的20%~40%。（疏通处理）
084,images/084.png,texts/084.txt,Y22-Y202,DN300,BX,4,1.32,-,开挖处理,rId110,word/media/image96.png,645,,管段编号Y22-Y202管径DN300缺陷名称4等级2距离1.32时钟表示-变形（4级）：变形大于管道直径的25％（开挖处理）
085,images/085.png,texts/085.txt,Y23-Y19,DN500,ZA,3,16.46,-,疏通处理,rId111,word/media/image97.png,650,,管段编号Y23-Y19管径DN500缺陷名称ZA等级3距离16.46时钟表示-障碍物（3级）：断面损失为15%~30%（疏通处理）
086,images/086.png,texts/086.txt,Y23-Y19,DN500,SG,4,16.51,-,切割处理,rId112,word/media/image98.png,655,,管段编号Y23-Y19管径DN500缺陷名称SG等级4距离16.51时钟表示-树根（4级）：过水断面积损失量大于30%（切割处理）
087,images/087.png,texts/087.txt,Y23-Y22,DN300,CJ,2,14.66-17.83,-,疏通处理,rId113,word/media/image99.png,660,,管段编号Y23-Y22管径DN300缺陷名称CJ等级2距离14.66-17.83时钟表示-沉积（2级）：沉积物厚度在管径的5%~20%之间。（疏通处理）
088,images/088.png,texts/088.txt,Y23-Y22,DN300,PL,2,18.11,-,局部现场固化法修复,rId114,word/media/image100.png,666,,管段编号Y23-Y22管径DN300缺陷名称PL等级2距离18.11时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（局部现场固化法修复）
089,images/089.png,texts/089.txt,Y25-Y24,DN300,PL,2,1.99,-,疏通处理/CIPP紫外线光固化整体修复,rId115,word/media/image101.png,671,,管段编号Y25-Y24管径DN300缺陷名称PL等级2距离1.99时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（疏通处理/CIPP紫外线光固化整体修复）
090,images/090.png,texts/090.txt,Y25-Y24,DN300,CJ,2,3.68-11.78,-,疏通处理/CIPP紫外线光固化整体修复,rId116,word/media/image102.png,676,,管段编号Y25-Y24管径DN300缺陷名称CJ等级2距离3.68-11.78时钟表示-沉积（2级）：沉积物厚度在管径的5%~20%之间。（疏通处理/CIPP紫外线光固化整体修复）
091,images/091.png,texts/091.txt,Y25-Y24,DN300,PL,2,5.01,-,疏通处理/CIPP紫外线光固化整体修复,rId117,word/media/image103.png,681,,管段编号Y25-Y24管径DN300缺陷名称PL等级2距离5.01时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（疏通处理/CIPP紫外线光固化整体修复）
092,images/092.png,texts/092.txt,Y25-Y24,DN300,PL,2,12.61-13.44,-,疏通处理/CIPP紫外线光固化整体修复,rId118,word/media/image104.png,686,,管段编号Y25-Y24管径DN300缺陷名称PL等级2距离12.61-13.44时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（疏通处理/CIPP紫外线光固化整体修复）
093,images/093.png,texts/093.txt,Y25-Y26,DN300,CJ,2,整段,-,疏通处理,rId119,word/media/image105.png,690,,管段编号Y25-Y26管径DN300缺陷名称CJ等级2距离整段时钟表示-沉积（2级）：沉积物厚度在管径的5%~20%之间。（疏通处理）
094,images/094.png,texts/094.txt,Y25-Y24,DN300,PL,2,13.35,-,疏通处理/CIPP紫外线光固化整体修复,rId120,word/media/image106.png,696,,管段编号Y25-Y24管径DN300缺陷名称PL等级2距离13.35时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（疏通处理/CIPP紫外线光固化整体修复）
095,images/095.png,texts/095.txt,Y27-Y26,DN300,CJ,2,1.19-7.3,-,疏通处理,rId121,word/media/image107.png,700,,管段编号Y27-Y26管径DN300缺陷名称CJ等级2距离1.19-7.3时钟表示-沉积（2级）：沉积物厚度在管径的5%~20%之间。（疏通处理）
096,images/096.png,texts/096.txt,Y27-Y26,DN300,CJ,2,18.26-20,-,疏通处理,rId122,word/media/image108.png,705,,管段编号Y27-Y26管径DN300缺陷名称CJ等级2距离18.26-20时钟表示-沉积（2级）：沉积物厚度在管径的5%~20%之间。（疏通处理）
097,images/097.png,texts/097.txt,Y30-Y29,DN400,PL,2,12.79,-,局部现场固化法修复,rId123,word/media/image109.png,711,,管段编号Y30-Y29管径DN400缺陷名称PL等级2距离12.79时钟表示-破裂（2级）：裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（局部现场固化法修复）
098,images/098.png,texts/098.txt,Y30-Y31,DN400,AJ,4,4.94,-,业主酌情处理,rId124,word/media/image110.png,716,,管段编号Y30-Y31管径DN400缺陷名称AJ等级4距离4.94时钟表示-支管暗接（4级）：支管未接入到主管。（业主酌情处理）
